IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:0:5c13:f5eb:dd68:5378:ba9f,4,4,0.00,197.81,35.47
2606:4700:0:5c13:b371:3b20:5712:64f0,4,4,0.00,198.56,35.25
2606:4700:0:51:6e96:9dbb:1fb3:ba05,4,4,0.00,198.36,32.53
2606:4700:0:51:e0f4:5fcd:63ef:6c25,4,4,0.00,195.89,32.26
2606:4700::48:fee0:43dc:ad28,4,4,0.00,197.65,32.14
2606:4700:0:51:e034:1919:7777:c8c4,4,4,0.00,198.13,28.36
2606:4700::63:a9e1:b476,4,4,0.00,197.55,27.50
2606:4700:0:5c39:c694:b4c4:360d:9d2a,4,4,0.00,198.22,27.45
2606:4700:0:5c13:ad61:e4fc:cef2:106d,4,4,0.00,197.81,27.31
2606:4700::dd:14fa:8fe4:53c,4,4,0.00,198.68,25.88
